X_SMHI;Y_SMHI;Name;Year;Month;Day;Depth m;Temp_ øC;pH ;Cond_ mS/m25øC;Ca meq/l;Mg meq/l;Na meq/l;K meq/l;Alk_/Acid meq/l;SO4_IC meq/l;Cl meq/l;NO2+NO3-N ug/l;Tot-N_ps ug/l;Tot-P ug/l;Abs__F 420nm/5cm;TOC mg/l;Si mg/l
665215;164379;EDSJÖN;2005;11;29;1;2.2;7.18;7.32;0.479;0.109;0.164;0.024;0.463;0.077;0.137;67;485;16;0.117;11.4;0.79
665254;164448;SKYSJÖN;2005;11;29;1;2.3;7.34;7.85;0.547;0.151;0.157;0.018;0.463;0.111;0.134;25;409;11;0.159;15.6;0.68
665276;163599;SÖDER-GININGEN;2005;11;29;1;0.6;7.49;43.4;3.328;0.644;0.745;0.104;2.705;1.232;0.643;487;1015;35;0.15;17.1;2.16
665768;164748;ASPDALSSJÖN;2005;11;29;1;1.7;7.69;24.4;2.1;0.249;0.27;0.037;1.729;0.568;0.233;19;553;20;0.125;16.7;1.03
665850;163433;NORR-GININGEN;2005;11;29;1;1.2;7.21;36.9;2.748;0.533;0.661;0.085;2.384;0.913;0.599;117;687;31;0.119;15.6;0.89
666036;164166;VÄLLEN;2005;11;29;1;1.3;7.78;18.1;1.503;0.213;0.264;0.028;1.261;0.326;0.221;30;555;16;0.113;15.3;0.52
666158;159878;LÅNGSJÖN;2005;11;28;1;3.9;8.01;49.3;3.621;0.852;0.689;0.122;2.658;1.902;0.751;141;469;14;0.022;4.8;1.34
666394;164380;GISSLAREN;2005;11;29;1;1.4;7.72;19.6;1.71;0.191;0.246;0.035;1.522;0.277;0.228;34;454;23;0.143;18.5;3.35
666536;159291;VELÅNGEN;2005;11;28;1;1.5;7.42;10.6;0.97;0.124;0.162;0.013;0.684;0.114;0.096;218;849;17;0.486;30;1.31
666830;161635;RASTSJÖN;2005;11;29;1;0.8;7.56;16.4;1.391;0.249;0.187;0.032;1.135;0.361;0.142;58;648;25;0.306;21.9;2.08
666846;158447;SÖRSJÖN;2005;11;28;0.5;1.3;7.35;28.6;2.217;0.488;0.412;0.057;1.8;0.726;0.339;1041;1494;64;0.349;19.1;3.38
667135;161090;DANNEMORASJÖN;2005;11;29;1;0.8;7.34;25.6;1.974;0.345;0.444;0.059;1.835;0.425;0.477;18;458;15;0.154;15.2;2.46
667218;160102;VENDELSJÖN;2005;11;29;1;0.8;8.01;38.6;3.492;0.4;0.448;0.082;3.164;0.645;0.44;18;695;16;0.203;20.7;1.41
667388;161605;SLAGSMYREN;2005;11;29;1;3.2;7.02;11.5;0.903;0.172;0.142;0.014;0.846;0.171;0.102;1;446;14;0.124;14.2;1.99
667402;158923;TÄMNAREN;2005;11;28;1;1.2;7.94;24.8;2.009;0.385;0.341;0.058;1.82;0.454;0.267;205;705;34;0.148;16.3;1.1
667536;161420;HARVIKADAMMEN;2005;11;29;1;1.7;7.38;12.1;0.978;0.17;0.144;0.023;0.892;0.174;0.105;4;365;14;0.192;16.7;2.18
667566;163131;GIMODAMM;2005;11;29;1;2.3;7.77;17.5;1.532;0.161;0.227;0.023;1.414;0.218;0.174;65;439;11;0.158;16.5;0.59
667703;161704;STORDAMMEN;2005;11;29;1;1.3;7.43;8.66;0.666;0.104;0.13;0.019;0.571;0.128;0.102;13;352;9;0.101;13.7;0.22
667719;164249;LÖHAMMARSJÖN;2005;11;29;1;2.4;7.35;45.4;3.838;0.455;0.627;0.092;3.784;0.623;0.641;126;713;19;0.243;22.2;3.9
667803;161347;GRUVSJÖN;2005;11;29;1;4;7.64;73.8;3.907;1.897;0.721;0.882;4.189;3.633;0.541;2;299;15;0.066;8.2;2.5
668498;163801;ASSJÖSJÖN;2005;11;29;1;1.3;7.7;44.9;3.228;0.629;0.897;0.094;2.923;1.085;0.917;35;602;13;0.082;15.4;0.91
668814;161417;VIKASJÖN;2005;11;29;1;0.5;7.33;8.57;0.732;0.106;0.148;0.019;0.583;0.022;0.127;71;773;13;0.383;27.2;1.74
668882;161498;SKÄLSJÖN;2005;11;29;1;1.8;7.11;8.45;0.725;0.108;0.153;0.019;0.567;0.026;0.127;53;441;12;0.388;26.9;1.45
669033;157716;INGSJÖN;2005;11;28;1;1.2;7.35;7.53;0.54;0.115;0.138;0.014;0.44;0.118;0.075;24;505;16;0.107;14.5;0.38
669066;162096;ÄLGSJÖN;2005;11;29;1;2.3;7.77;28.4;2.488;0.307;0.353;0.052;2.398;0.359;0.306;2;649;13;0.065;16.3;0.18
669147;163065;KLUBBTRÄSKET;2005;11;29;1;4.3;7.75;35.7;3.077;0.391;0.519;0.044;2.825;0.813;0.326;2;1006;9;0.097;19.2;1.58
669267;161021;FÄLAREN;2005;11;29;1;0.4;7.39;7.9;0.687;0.095;0.12;0.017;0.519;0.064;0.084;38;464;17;0.345;24.8;0.74
669274;160365;STRÖMAREN;2005;11;29;1;0.6;7.91;26.4;2.453;0.261;0.217;0.038;2.031;0.594;0.17;21;674;19;0.147;19.2;1.2
669341;160090;TRUSKSJÖN;2005;11;29;1;2.7;6.36;4.78;0.473;0.081;0.118;0.009;0.129;0.019;0.059;34;488;17;1.205;50.6;2.12
669564;161462;FINNSJÖN;2005;11;29;1;0.6;7.59;9.23;0.768;0.105;0.141;0.02;0.632;0.08;0.115;72;442;14;0.241;20.9;0.39
