X_SMHI;Y_SMHI;Name;Year;Month;Day;Depth m;Temp_ øC;pH ;Cond_ mS/m25øC;Ca meq/l;Mg meq/l;Na meq/l;K meq/l;Alk_/Acid meq/l;SO4_IC meq/l;Cl meq/l;NO2+NO3-N ug/l;Tot-N_ps ug/l;Tot-P ug/l;Abs__F 420nm/5cm;TOC mg/l;Si mg/l
657334;145677;TYSSLINGEN;2005;11;2;1;7;6.81;10.8;0.471;0.31;0.23;0.056;0.469;0.179;0.232;1342;1781;86;0.203;10.5;3.66
657632;143100;ANGSJÖN;2005;11;27;1;3.1;6.52;4.4;0.206;0.06;0.156;0.012;0.12;0.061;0.14;26;411;11;0.204;10.3;1.45
657640;143679;SÖDRA GÄDDTJÄRN;2005;11;27;1;3.1;6.9;4.48;0.21;0.119;0.105;0.012;0.219;0.05;0.119;16;323;14;0.137;7.9;0.8
657963;145005;SÖDRA ÅNNABOSJÖN;2005;11;2;1;5.8;6.72;4.84;0.186;0.072;0.157;0.016;0.135;0.066;0.193;23;206;11;0.075;5.7;0.2
658334;147604;TJUGESTASJÖN;2005;11;27;1;3.3;6.72;6.4;0.258;0.183;0.149;0.042;0.245;0.146;0.104;125;615;37;0.207;12.1;1.78
658898;143102;LERSJÖN;2005;11;1;1;6.2;6.58;3.58;0.169;0.055;0.099;0.011;0.115;0.07;0.076;38;198;8;0.109;8;0.86
659291;143603;ABBORRTJÄRN;2005;11;1;1;6.1;6.67;3.34;0.147;0.046;0.105;0.012;0.104;0.077;0.071;9;197;6;0.061;5.2;0.64
659543;143036;ÖVARTJÄRN;2005;11;1;1;5.6;6.1;2.97;0.169;0.036;0.088;0.011;0.062;0.05;0.061;28;230;10;0.37;15;1.43
659610;142598;FISKLÖSEN;2005;11;1;1;6.9;5.81;2.37;0.059;0.05;0.076;0.016;0.029;0.049;0.095;3;228;17;0.041;4.2;0.13
659651;145449;DAMMSJÖN;2005;11;2;1;6.4;6.55;3.15;0.142;0.058;0.09;0.013;0.081;0.062;0.069;33;278;16;0.197;10.6;1.05
659655;143311;LILLA GÄLLSJÖN;2005;11;1;1;5.4;6.73;3.3;0.183;0.038;0.092;0.008;0.12;0.059;0.067;8;206;7;0.11;7.9;0.8
659725;143137;KVIDDTJÄRN;2005;11;1;1;5.4;6.3;2.85;0.167;0.031;0.079;0.009;0.074;0.043;0.056;34;302;10;0.335;13.6;1.18
659742;143184;BOFALLSTJÄRN;2005;11;1;1;5.2;6.23;2.45;0.12;0.033;0.079;0.013;0.054;0.039;0.054;30;232;11;0.3;11.6;0.91
659756;143234;STORA ORMTJÄRN;2005;11;1;1;5.3;5.87;2.57;0.122;0.037;0.089;0.011;0.033;0.046;0.06;27;250;11;0.291;12.9;1.4
659919;143967;STORAGEN;2005;11;2;1;7.7;6.87;3.67;0.187;0.057;0.099;0.01;0.143;0.054;0.077;105;239;8;0.093;7.2;1.12
659957;142811;VÄSTRA DJUPEDALSTJÄRN;2005;11;2;1;6.1;7.08;5.56;0.446;0.056;0.086;0.008;0.355;0.052;0.077;48;338;11;0.196;11.4;1.54
660018;144590;FLAKSJÖN;2005;11;2;1;6.5;6.41;4.68;0.214;0.091;0.174;0.014;0.1;0.061;0.152;67;359;18;0.428;20.8;2.95
660152;143776;SKÄRJEN;2005;11;2;1;8.1;6.94;3.7;0.19;0.057;0.099;0.01;0.146;0.054;0.077;114;270;8;0.088;6.7;1.13
660222;142221;KROKTJÄRNEN;2005;11;1;1;6.1;6.7;3.28;0.181;0.039;0.087;0.01;0.134;0.058;0.06;31;224;7;0.109;7;0.8
660231;143376;HALVARSNOREN;2005;11;2;1;8;6.96;3.72;0.194;0.057;0.101;0.011;0.148;0.054;0.078;101;418;8;0.086;6.8;1.14
660418;142908;STORA FISKLÖSEN;2005;11;2;1;6.3;7.07;4.57;0.324;0.041;0.077;0.006;0.291;0.052;0.058;14;291;10;0.051;4.7;0.54
660804;142742;LIMMINGSJÖN;2005;11;1;1;6.9;6.69;2.93;0.145;0.052;0.075;0.01;0.1;0.06;0.056;42;191;6;0.059;6.1;0.75
660919;142948;SIRSJÖN;2005;11;1;1;7.8;7.35;6.26;0.355;0.164;0.099;0.015;0.412;0.093;0.073;21;201;5;0.032;5.1;0.37
661020;148602;HÖGMOSSJÖN;2005;11;27;1;3.3;5.88;2.91;0.161;0.057;0.085;0.01;0.031;0.039;0.06;96;601;17;0.566;21;3.13
661191;146638;RÅSVALEN;2005;11;1;1;8.3;6.92;5.64;0.256;0.096;0.184;0.02;0.218;0.108;0.124;125;184;11;0.132;8.2;1.63
661435;142520;LJUSTJÄRNAN;2005;11;1;1;7.1;6.9;3.9;0.202;0.066;0.084;0.015;0.189;0.081;0.06;10;198;11;0.017;3.2;0.23
661677;143319;INGFASTEN;2005;11;1;1;6.6;6.7;3.42;0.139;0.073;0.104;0.009;0.13;0.073;0.062;22;351;7;0.045;5.9;0.27
661771;143555;STORA ÄMTEN;2005;11;1;1;5.6;6.44;2.65;0.126;0.055;0.082;0.008;0.066;0.048;0.057;25;254;13;0.182;10.3;0.45
661841;144930;;2005;11;1;1;7.3;6.82;3.72;0.18;0.072;0.088;0.012;0.13;0.104;0.055;21;201;5;0.033;5;0.36
661884;147856;SJUPEN;2005;11;27;1;2.8;6.48;6.8;0.265;0.144;0.231;0.027;0.217;0.094;0.246;92;437;24;0.347;14.2;3.92
661923;143300;HALVTRON;2005;11;1;1;7.6;6.9;3.57;0.185;0.061;0.091;0.01;0.14;0.07;0.065;76;293;5;0.069;6.2;0.57
661962;144430;LÅNGTJÄRNEN;2005;11;1;1;5.7;6.12;2.88;0.077;0.077;0.108;0.011;0.063;0.07;0.066;17;206;8;0.15;8.1;1.19
662130;142921;SÖR-ÄLGEN;2005;11;1;1;7.9;6.92;3.14;0.173;0.05;0.076;0.009;0.129;0.053;0.05;195;284;6;0.09;6.8;1.1
662336;144291;LILLA GRÄNGEN;2005;11;1;1;6.6;6.84;4.19;0.19;0.077;0.129;0.013;0.154;0.063;0.105;36;284;9;0.14;8.5;1.67
662551;142470;SAXEN;2005;11;1;1;7.8;7.03;4.65;0.214;0.086;0.126;0.013;0.204;0.066;0.106;100;218;6;0.07;5.4;0.83
662718;142563;LJUSTJÄRNEN;2005;11;1;1;6.2;4.72;1.93;0.045;0.024;0.039;0.004;-0.035;0.02;0.035;24;214;16;0.373;14.2;0.28
663260;143350;LILLA GLOPPSJÖN;2005;11;1;1;5.9;6.59;4.09;0.211;0.067;0.112;0.009;0.127;0.064;0.098;76;188;9;0.194;11.5;1.21
663298;143149;NORR-ÄLGEN;2005;11;1;1;6.3;6.67;3.17;0.166;0.057;0.082;0.01;0.126;0.056;0.049;62;185;8;0.135;8.1;1.86
663416;143685;DAMMSJÖN;2005;11;1;1;5.1;6.97;8.25;0.538;0.099;0.21;0.022;0.486;0.068;0.184;30;239;9;0.257;13.6;2.12
663501;145470;LJUSNAREN;2005;11;1;1;7.2;6.77;3.56;0.194;0.053;0.092;0.012;0.099;0.097;0.054;57;186;6;0.162;8.5;1.84
663588;143356;LILLA HÖGSJÖN;2005;11;1;1;6.1;6.73;3.1;0.161;0.057;0.082;0.01;0.12;0.05;0.046;41;183;9;0.176;9.9;1.96
663720;147426;LAXTJÄRNEN;2005;11;27;1;2.8;6.97;3.85;0.278;0.052;0.073;0.008;0.219;0.047;0.04;75;658;9;0.263;10.6;2.85
663823;142444;ÖRLINGEN;2005;11;1;1;6.6;6.71;3.27;0.172;0.047;0.093;0.009;0.142;0.037;0.067;55;203;9;0.167;8.1;1.47
664101;146395;ÅTJÄRNARNA;2005;11;27;1;2.3;6.13;2.29;0.107;0.035;0.081;0.008;0.027;0.04;0.05;72;445;9;0.325;12.9;2.75
664118;142899;SÄVENFORSDAMMEN;2005;11;1;1;5.8;6.63;2.89;0.169;0.045;0.072;0.008;0.128;0.036;0.045;59;194;11;0.204;9.5;1.48
664218;143112;GRÅNTJÄRNARNA;2005;11;1;1;4.8;5.87;1.93;0.094;0.034;0.06;0.008;0.035;0.022;0.036;29;187;10;0.366;13.7;2.42
664250;143131;GRÅN;2005;11;1;1;4.9;6.71;2.99;0.145;0.05;0.085;0.009;0.127;0.052;0.048;21;192;8;0.126;6.7;1.11
664251;143224;SANDSJÖN;2005;11;1;1;4.7;6.86;3.11;0.151;0.054;0.087;0.009;0.141;0.057;0.048;17;183;10;0.089;5.7;1.09
664285;143184;LILLA SANDSJÖN;2005;11;1;1;5.3;6.62;3.35;0.192;0.047;0.091;0.01;0.13;0.045;0.059;47;189;11;0.256;11.2;1.98
664360;142967;NEDRE SÄVSJÖN;2005;11;1;1;5.1;6.58;2.86;0.166;0.046;0.07;0.008;0.126;0.034;0.044;69;183;10;0.241;9.9;1.35
664822;141896;LJUSSJÖN;2005;11;1;1;5.9;6.56;1.74;0.083;0.031;0.047;0.005;0.058;0.034;0.039;29;186;9;0.086;5.4;0.96
658366;149508;HÖGSJÖN;2005;11;27;1;3.8;7.22;16.1;0.502;0.278;0.65;0.063;0.438;0.242;0.728;91;570;29;0.063;8.6;0.92
660274;149978;HIMMETASJÖN;2005;11;27;1;3.6;5.97;4.03;0.175;0.117;0.131;0.015;0.064;0.047;0.089;71;719;30;0.617;29.1;4.34
660330;149815;VÄSTLANDASJÖN;2005;11;27;1;2.2;7.21;7.73;0.336;0.21;0.154;0.046;0.37;0.178;0.105;179;1017;69;0.045;8.6;1.19
660342;149267;SKEDVISJÖN;2005;11;27;1;2.4;7.02;6.35;0.262;0.18;0.132;0.035;0.217;0.189;0.099;111;485;21;0.068;7.3;0.96
660592;149934;SVANSJÖN;2005;11;27;1;2.9;7.08;7.89;0.152;0.124;0.492;0.04;0.383;0.172;0.087;67;558;12;0.155;12;1.96
660973;150540;LUNDBYSJÖN;2005;11;27;1;3;6.87;4.62;0.232;0.116;0.114;0.023;0.173;0.084;0.071;118;531;38;0.249;12.5;2.61
661174;149420;MESSLÅNGEN;2005;11;27;1;2.1;6.95;4.54;0.306;0.076;0.088;0.011;0.238;0.055;0.056;78;502;15;0.287;12.6;1.44
661410;148589;SVANGÖLEN;2005;11;27;1;3.8;5.84;3.93;0.153;0.096;0.116;0.028;0.058;0.055;0.099;59;512;30;0.502;21.2;3.49
661689;151477;SÖRSJÖN;2005;11;27;1;2.6;7.03;6.04;0.319;0.142;0.123;0.039;0.305;0.089;0.074;121;559;50;0.149;11.9;0.97
661815;148638;HAMMARTJÄRNEN;2005;11;27;1;3;6.66;3.69;0.264;0.049;0.066;0.008;0.203;0.025;0.042;64;539;14;0.356;14.7;2.26
661880;152199;ÖSTERSJÖN;2005;11;27;1;2.9;7.08;6.29;0.284;0.112;0.199;0.024;0.254;0.122;0.132;155;633;17;0.082;7.3;1.71
661903;152816;HARSJÖN;2005;11;27;1;2.3;6.25;2.83;0.181;0.058;0.075;0.007;0.053;0.027;0.046;67;501;14;0.475;20.7;2.82
661926;149645;ÅNDERN;2005;11;27;1;2.6;6.45;4.19;0.166;0.079;0.135;0.019;0.101;0.084;0.109;67;454;14;0.166;8.6;1.77
662269;152286;MAGSJÖN;2005;11;2;1;5.7;6.94;6.22;0.274;0.114;0.194;0.028;0.249;0.117;0.138;127;288;22;0.102;9.2;0.88
662417;153970;MUNGASJÖN;2005;11;27;1;2.2;7.35;15.1;0.777;0.45;0.317;0.053;0.971;0.288;0.211;180;747;78;0.067;9.5;1.91
662428;149089;ORRMOSSJÖN;2005;11;27;1;3.8;5.15;2.77;0.086;0.054;0.109;0.009;-0.017;0.019;0.094;27;503;27;0.644;22.1;2.96
662905;151001;LILLA MORSJÖN;2005;11;27;1;2.5;6.77;3.38;0.243;0.048;0.07;0.007;0.128;0.039;0.041;58;624;13;0.296;13.4;2.47
662910;150724;LÅNGBJÖRKEN;2005;11;27;1;2.6;6.75;3.86;0.218;0.068;0.09;0.011;0.142;0.066;0.062;38;655;12;0.138;9.2;1.91
662982;148925;ÅNGSJÖKALVEN;2005;11;27;1;3.2;6.51;3.45;0.145;0.074;0.097;0.011;0.111;0.069;0.067;12;423;9;0.067;6.3;0.79
662994;151936;STORA NADDEN;2005;11;2;1;6.5;7.09;6.03;0.272;0.109;0.193;0.025;0.252;0.118;0.13;65;228;27;0.082;8.3;0.69
663069;152776;BÅNGBOSJÖN;2005;11;27;1;3.1;6.91;6.06;0.305;0.151;0.131;0.022;0.322;0.098;0.1;90;538;24;0.108;9.2;0.9
663076;152542;TOREN;2005;11;27;1;2.6;6.64;3.25;0.245;0.051;0.066;0.008;0.134;0.03;0.038;69;509;19;0.535;17.3;2.81
663090;153202;HÄLLSJÖN;2005;11;2;1;6.3;7.28;9.42;0.508;0.248;0.197;0.047;0.546;0.131;0.154;93;432;61;0.242;16.7;0.97
663335;149099;ÄMTHYTTSJÖN;2005;11;27;1;3.3;6.24;3.93;0.144;0.095;0.144;0.015;0.072;0.082;0.101;41;484;10;0.284;13.6;2.82
663430;149281;ÖVRE VÄTTERN;2005;11;27;1;3.3;6.8;3.77;0.145;0.067;0.142;0.015;0.117;0.058;0.101;62;406;12;0.13;6.7;1.97
663532;148571;ÖVRE SKÄRSJÖN;2005;11;27;1;3.1;5.84;2.33;0.066;0.064;0.07;0.01;0.008;0.084;0.04;55;420;6;0.162;7.3;2.09
663636;151645;VIRSBOSJÖN;2005;11;27;1;3.1;6.98;6.01;0.27;0.106;0.185;0.022;0.243;0.119;0.133;205;533;14;0.078;6.9;1.91
663702;148165;HARALDSJÖN;2005;11;27;1;4.2;6.68;3.16;0.216;0.042;0.072;0.009;0.125;0.056;0.036;62;462;6;0.25;11.1;2.74
663706;148178;GARPTJÄRNEN;2005;12;12;1;1;5.55;2.77;0.097;0.047;0.109;0.008;0.02;0.075;0.054;144;329;6;0.217;11.2;3.16
663758;153002;FLÄCKSJÖN;2005;11;2;1;6.9;7.47;10.8;0.599;0.278;0.216;0.051;0.657;0.154;0.18;82;341;50;0.217;15.3;1.27
663863;151351;ÅMÄNNINGEN;2005;11;27;1;3.8;7.14;6.02;0.262;0.104;0.183;0.022;0.24;0.121;0.134;207;462;14;0.063;6.5;1.9
664016;149207;STORSJÖN;2005;11;27;1;4;6.76;3.52;0.143;0.063;0.127;0.014;0.112;0.057;0.09;59;415;13;0.136;7.1;2.16
664169;151657;LILLA VALLSJÖN;2005;11;27;1;2.6;6.21;2.83;0.155;0.061;0.083;0.008;0.045;0.051;0.048;87;438;17;0.435;18.9;3.34
664197;149337;DAGARN;2005;11;27;1;3.4;6.92;6.15;0.167;0.085;0.325;0.014;0.13;0.075;0.313;10;400;6;0.035;4.8;1.04
664245;151294;VÄSTER MURSJÖN;2005;11;27;1;2.4;6.77;5.75;0.307;0.141;0.173;0.02;0.243;0.042;0.133;32;542;24;0.613;23.4;4.2
664441;148728;BERGTJÄRNEN;2005;11;27;1;3.2;6.34;3.18;0.146;0.047;0.083;0.008;0.085;0.063;0.08;13;464;8;0.083;6.2;1.84
664514;150024;NORRA MORSJÖN;2005;11;27;1;4.2;6.95;4.64;0.211;0.107;0.12;0.017;0.225;0.096;0.062;22;403;8;0.062;5.2;1.93
664569;156575;RAMSJÖN;2005;11;28;1;2.6;7.4;22.9;1.417;0.333;0.574;0.085;1.481;0.221;0.556;381;1114;74;0.14;15.2;0.89
664625;148437;STORA LAXSJÖN;2005;11;27;1;2.5;7;5.44;0.454;0.048;0.081;0.007;0.37;0.061;0.042;36;492;9;0.254;11.1;2.74
664773;152324;HÖRENDESJÖN;2005;11;27;1;2.6;7.07;6.67;0.309;0.157;0.173;0.039;0.327;0.103;0.132;108;438;16;0.091;9.7;1.3
664868;156677;IGELSJÖN;2005;11;28;1;4.2;6.65;5.67;0.451;0.108;0.12;0.011;0.229;0.084;0.047;117;695;23;0.663;30.9;4.62
664879;153995;OLOF-JONS DAMM;2005;11;27;1;2.2;6.86;5.28;0.248;0.104;0.161;0.018;0.206;0.055;0.156;135;646;14;0.238;13.1;1.42
665101;150499;SUNDBO DAMMSJÖN;2005;11;27;1;3.3;6.79;4.06;0.194;0.072;0.117;0.008;0.155;0.062;0.093;61;297;7;0.092;8.3;2.43
665195;152114;LÅNGSJÖN;2005;11;27;1;2.9;7.18;7.44;0.351;0.169;0.194;0.043;0.385;0.098;0.16;118;505;32;0.145;10.9;1.58
665318;153570;STORA HUNDSJÖN;2005;11;27;1;1;6.49;7.11;0.258;0.07;0.396;0.008;0.09;0.036;0.378;116;495;14;0.602;25;2.86
665364;150089;MELINGSSJÖN;2005;11;27;1;3.8;6.77;7.55;0.338;0.189;0.207;0.029;0.351;0.103;0.185;166;435;19;0.222;11.1;3.45
665508;153620;STORLJUSEN;2005;11;27;1;2.5;6.9;3.89;0.176;0.058;0.122;0.01;0.13;0.072;0.092;64;360;7;0.07;7.1;0.89
665509;150416;BERGTJÄRN;2005;11;27;1;3.2;5.76;2.4;0.104;0.051;0.071;0.008;0.017;0.047;0.041;60;482;16;0.415;16.2;3.47
665565;151624;LABODASJÖN;2005;11;27;1;2.4;7.17;8.01;0.37;0.155;0.224;0.06;0.404;0.099;0.185;108;1354;36;0.173;10.7;1.38
665619;157243;STOR-FÄNNSJÖN;2005;11;28;1;2.4;6.1;2.92;0.188;0.061;0.083;0.01;0.035;0.038;0.053;47;594;14;0.584;23.4;3.12
665684;150866;TRÄTTEN;2005;11;27;1;2.2;6.94;11.4;0.541;0.209;0.279;0.05;0.507;0.179;0.288;601;1124;30;0.106;8.4;1.72
665736;151438;BÅGEN;2005;11;27;1;2.1;7.03;7.92;0.373;0.139;0.224;0.061;0.391;0.1;0.178;108;465;30;0.216;11.9;1.89
665861;151081;NATTJÄRN;2005;11;27;1;3.4;5.88;1.84;0.07;0.034;0.06;0.008;0.026;0.045;0.04;65;379;9;0.188;8.9;1.4
665897;153312;STENBARKEN;2005;11;27;1;2.1;6.82;3.65;0.234;0.082;0.078;0.008;0.122;0.06;0.045;93;480;12;0.283;16.6;2.03
666202;155038;HALLAREN;2005;11;1;1;5.2;7.23;14.5;0.876;0.333;0.222;0.075;0.84;0.283;0.208;608;943;98;0.232;14.6;3.51
666566;153416;BÄRSJÖN;2005;10;10;1;11.2;6.46;3.42;0.217;0.071;0.077;0.006;0.082;0.068;0.038;33;363;14;0.363;23.2;3.3
666676;151090;STORA ÖFSTJÄRNEN;2005;10;11;1;10.5;6.18;2.54;0.105;0.064;0.071;0.01;0.044;0.068;0.038;3;253;11;0.238;12.3;1.27
666678;150265;ÖVRE HÅSJÖN;2005;10;11;1;10.3;6.76;3.69;0.225;0.063;0.072;0.011;0.15;0.068;0.047;2;251;8;0.118;11.8;1.23
666694;154311;GAMMELBYSJÖN;2005;11;1;1;5.1;7.15;10.5;0.6;0.271;0.191;0.074;0.655;0.127;0.142;256;756;116;0.404;19.1;2.77
666706;150086;FRAGGEN;2005;10;11;1;11.2;6.79;3.69;0.226;0.065;0.073;0.011;0.144;0.069;0.046;3;247;10;0.137;11.8;1.45
666733;151367;STORSJÖN;2005;10;11;1;11.1;6.91;4.34;0.219;0.086;0.114;0.009;0.154;0.075;0.084;4;227;9;0.129;10.6;1.58
666867;150646;DAMMSJÖN;2005;10;11;1;10.4;6.52;3.03;0.191;0.056;0.075;0.004;0.099;0.057;0.033;2;210;10;0.246;16;2.08
666945;150348;DAMMSJÖN;2005;10;11;1;11.2;7.04;3.69;0.248;0.056;0.066;0.009;0.184;0.066;0.034;2;242;8;0.106;11.8;1.11
666968;149627;IGELTJÄRNEN;2005;10;11;1;10.2;6.22;2.69;0.17;0.059;0.07;0.007;0.079;0.033;0.026;1;276;14;0.372;19;2.22
666975;149737;STORA RISTJÄRNEN;2005;10;11;1;10.5;7.16;4.63;0.354;0.06;0.07;0.01;0.282;0.058;0.032;3;257;11;0.194;14.3;0.88
667260;155858;NORDMYRASJÖN;2005;11;28;1;1.9;6.94;18.7;0.833;0.234;0.711;0.061;0.736;0.337;0.623;338;1205;43;0.275;13.3;3.7
667275;156318;TÄRNSJÖN;2005;11;1;1;6.2;7.39;87;1.697;0.203;5.484;0.463;2.865;0.692;6.674;26;3319;57;0.079;16.9;0.56
667288;150936;STORSJÖN;2005;10;11;1;10.8;7.15;4.01;0.266;0.068;0.072;0.01;0.2;0.077;0.035;2;298;9;0.076;12.8;0.68
668310;157637;FÄNNSJÖN;2005;11;28;1;1.7;6.91;6.08;0.46;0.106;0.118;0.014;0.207;0.137;0.059;134;573;18;0.475;27;1.43
665251;148922;LILLA LEXEN;2005;11;27;1;3.7;6.63;3.15;0.168;0.053;0.081;0.009;0.121;0.064;0.043;62;323;12;0.126;7.7;1.76
665260;148632;SKÄKTTJÄRNEN;2005;11;27;1;3.1;6.82;4.01;0.269;0.057;0.084;0.009;0.212;0.062;0.039;91;404;8;0.223;9.9;2.72
665578;147449;ÖVRE LÅNGTJÄRNEN;2005;11;27;1;3;6.9;4.22;0.208;0.076;0.103;0.013;0.225;0.084;0.052;114;297;9;0.07;2.4;4.34
665654;149206;MÄSEN;2005;11;27;1;4.5;6.64;4.33;0.201;0.107;0.092;0.017;0.185;0.106;0.047;75;332;16;0.061;6.1;1.66
665778;147308;BOMANSTJÄRNEN;2005;11;27;1;2.8;6.47;3.24;0.117;0.043;0.059;0.063;0.162;0.023;0.051;38;871;44;0.073;6.4;0.9
666086;149116;DAMMSJÖN;2005;11;27;1;3.6;6.67;3.34;0.169;0.081;0.077;0.012;0.104;0.079;0.044;63;810;12;0.16;10.4;2.55
666579;147737;BJÖRKMOSSDAMMEN;2005;10;11;1;9.9;6.84;4.33;0.208;0.085;0.15;0.027;0.246;0.042;0.042;1;288;17;0.219;14.5;1.27
666656;148562;HJORTSTJÄRNEN;2005;10;11;1;11.2;6.72;3.99;0.213;0.087;0.084;0.015;0.181;0.077;0.045;3;253;13;0.087;10.9;1.27
666750;152575;;2005;10;11;1;11.3;6.87;7.49;0.367;0.151;0.15;0.095;0.484;0.007;0.162;1;477;39;0.055;13.4;0.2
666816;147235;NEDRE HILLEN;2005;10;11;1;11.4;7.04;5.1;0.239;0.084;0.154;0.019;0.203;0.099;0.089;94;267;12;0.073;9.5;1.6
667025;152590;ÖSJÖN;2005;10;11;1;11.1;7.16;7.84;0.416;0.171;0.171;0.043;0.519;0.063;0.126;1;452;48;0.054;12.4;0.33
667160;149453;NÄSSAREN;2005;10;11;1;10.3;6.64;3.27;0.209;0.062;0.07;0.009;0.119;0.046;0.045;2;263;10;0.235;16.1;1.1
667186;149575;BOFANSEN;2005;10;11;1;10.2;6.57;3.43;0.23;0.065;0.072;0.011;0.12;0.04;0.049;12;291;12;0.354;19.9;1.54
667201;144326;HAKALAMM;2005;10;10;1;10;6.14;1.97;0.092;0.039;0.068;0.009;0.042;0.028;0.031;24;315;12;0.277;11.7;2.06
667258;153492;BÄSINGEN;2005;10;10;1;11.4;7.15;4.22;0.222;0.057;0.11;0.014;0.221;0.071;0.05;118;191;10;0.084;8.5;0.74
667416;152024;NÄVDEN;2005;10;11;1;11.3;7.27;8.77;0.508;0.177;0.153;0.047;0.537;0.132;0.12;1;301;32;0.04;10.2;1.15
667510;150589;KALVEN;2005;10;11;1;10.6;6.38;2.7;0.146;0.058;0.076;0.006;0.063;0.054;0.035;1;287;11;0.21;15.6;1.08
667572;152807;FORSSJÖN;2005;10;10;1;11.8;7.09;19.3;1.243;0.216;0.282;0.107;0.477;1.158;0.147;1;248;55;0.095;13.4;0.17
667782;141063;HEMTJÄRNEN;2005;10;24;1;5.6;6.17;4.77;0.146;0.051;0.251;0.011;0.069;0.025;0.267;17;190;14;0.349;15;2.85
667792;146688;DJUPTJÄRNEN;2005;10;10;1;10.6;6.67;2.83;0.117;0.046;0.068;0.01;0.092;0.078;0.037;20;268;7;0.054;5.3;1.61
667814;150002;STORA SUNDSJÖN;2005;10;11;1;10.9;6.76;2.67;0.138;0.053;0.059;0.009;0.094;0.061;0.036;1;216;6;0.052;9.6;0.73
667825;152684;ÅSGARN;2005;10;10;1;11.5;7.15;29.2;2.135;0.26;0.33;0.166;0.484;2.22;0.155;1;215;42;0.073;11.5;0.14
667829;148358;LÅNGSJÖN;2005;10;11;1;11;6.76;3.33;0.145;0.068;0.084;0.011;0.13;0.08;0.034;2;236;7;0.08;10.6;1.73
667849;150140;GRYCKEN;2005;10;11;1;11.1;6.73;2.72;0.136;0.053;0.063;0.009;0.093;0.063;0.041;1;248;6;0.043;9.3;0.82
667981;141425;ABRAHAMSTJÄRNEN;2005;10;24;1;4.6;7.38;6.02;0.535;0.051;0.061;0.006;0.487;0.027;0.037;32;271;8;0.293;15;1.89
668004;147966;ÖVSJÖN;2005;10;11;1;10.4;6.3;2.27;0.108;0.04;0.074;0.008;0.053;0.041;0.033;11;250;11;0.199;12.3;1.95
668010;141769;LEJBERGSTJÄRNEN;2005;10;24;1;2.3;5.18;1.32;0.049;0.014;0.046;0.002;-0.008;0.031;0.029;9;192;9;0.117;7.4;0.45
668024;144616;HEDTJÄRNEN;2005;10;10;1;9.6;6.62;3.11;0.165;0.053;0.098;0.009;0.128;0.038;0.043;17;314;13;0.265;11.3;3.01
668075;139835;MILSJÖN;2005;10;24;1;7.9;7.16;3.62;0.299;0.036;0.054;0.007;0.224;0.032;0.034;29;196;8;0.175;10.4;1.49
668161;145410;BYSJÖN;2005;10;10;1;11.6;6.81;3.74;0.185;0.062;0.111;0.015;0.157;0.048;0.078;47;329;10;0.105;7.1;2.3
668167;152832;ÖVERBO-DAMMSJÖN;2005;10;10;1;11.3;7.06;4;0.216;0.072;0.099;0.01;0.221;0.081;0.038;2;267;9;0.04;9.3;0.21
668233;151870;PÅLSBENNINGSJÖN;2005;10;11;1;10.8;7.36;6.46;0.42;0.103;0.108;0.012;0.294;0.194;0.057;2;219;7;0.029;9.6;1.1
668272;142722;BRED-MÖLSEN;2005;10;24;1;6.2;6.91;2.32;0.143;0.032;0.051;0.006;0.109;0.034;0.029;8;224;6;0.07;8.1;2.26
668310;146727;HÄLLTJÄRNEN;2005;10;10;1;9.4;5.41;1.46;0.045;0.021;0.052;0.003;0.002;0.047;0.03;7;272;8;0.093;5.5;0.13
668332;153847;VATEBOSJÖN;2005;10;10;1;11.1;6.65;3.21;0.184;0.068;0.077;0.008;0.088;0.074;0.044;7;240;17;0.267;18.5;0.41
668374;150912;BRUNNSJÖN;2005;10;11;1;11.2;7.37;13.2;0.865;0.261;0.198;0.049;0.953;0.136;0.191;3;404;71;0.041;10.4;0.56
668414;152123;SKITJÄRNEN;2005;10;11;1;11.3;7.08;4.66;0.232;0.102;0.113;0.013;0.198;0.111;0.061;7;247;8;0.013;7.7;0.47
668418;149482;GRUVSJÖN;2005;10;11;1;10.6;6.62;2.75;0.151;0.054;0.062;0.011;0.086;0.064;0.032;6;261;11;0.133;11.9;1.04
668422;146237;FÄNNTJÄRNEN;2005;10;10;1;9.3;5.95;2.3;0.128;0.04;0.058;0.006;0.039;0.052;0.029;13;272;13;0.288;12.3;0.54
668443;147299;HEMSJÖN;2005;10;11;1;10.6;7.1;4.75;0.272;0.067;0.118;0.011;0.249;0.073;0.066;1;208;7;0.066;8.7;0.84
668445;147527;SIKSJÖN;2005;10;11;1;10.9;7.1;4.59;0.258;0.064;0.121;0.011;0.231;0.072;0.068;2;213;7;0.064;8.2;0.91
668455;152911;ACKTJÄRNEN;2005;10;10;1;10.6;7.05;4.58;0.346;0.051;0.075;0.006;0.28;0.065;0.033;13;224;9;0.156;15.2;0.79
668474;144296;SKRÄDDARTJÄRNEN;2005;10;10;1;9.4;5.66;2.13;0.103;0.035;0.071;0.011;0.017;0.027;0.044;15;328;14;0.404;16.4;2.14
668487;147148;TUNSAN;2005;10;11;1;10.7;7.17;4.67;0.27;0.065;0.119;0.011;0.227;0.075;0.066;2;233;6;0.061;8.7;0.76
